stop_id,stop_name,location_type,wheelchair_boarding
1269,Winston/Westbury,0,2
1270,Willis Way Station,0,1
1272,Grand River Hospital Station,0,1
1273,Charles/Water,0,1
1274,Queen/Rooshill,0,2
1275,Bishop/Conestoga,0,1
1276,Groh/Holiday Inn Dr.,0,1
1277,Ottawa/Lackner,0,1
1278,Groh/Holiday Inn Dr.,0,1
1279,Can-Amera/Conestoga,0,1
1280,Can-Amera/Conestoga,0,1
1281,Franklin/Adam,0,1
1282,Eagle/Whitley,0,1
1283,Eagle/Shettleston,0,1
1284,Eagle/Laurel,0,1
1287,Maple Grove/Saltsman,0,1
1288,Maple Grove/Cherry Blossom,0,1
1289,Eagle/Laurel,0,1
1290,Eagle/Arlington,0,2
1291,Fisher Mills/Scott,0,1
1292,Charles/Water,0,1
1294,Holiday Inn Dr./Tri-City Centre,0,1
1295,200 Holiday Inn Dr.,0,1
1296,Fisher Mills/Scott,0,1
1297,Holiday Inn Dr./Jacob Hespeler Secondary School,0,1
1298,Holiday Inn Dr./Franklin,0,1
1299,Tannery/Queen,0,1
1300,Guelph/Sheffield,0,1
1301,Fisher Mills/Fearnwood,0,2
1302,Scott/Fisher Mills,0,1
1303,Scott/Nickolas,0,2
1304,Scott/Milton,0,2
1305,Poplar/Scott,0,1
1306,Poplar/Dawn,0,1
1307,Guelph/Fisher Mills,0,1
1308,Guelph/Sheffield,0,1
1309,Adam/Tannery,0,1
1310,Franklin/Shamrock,0,1
1311,Bishop/Franklin,0,1
1312,Franklin/Thomas,0,1
1313,Victoria Park Station,0,1
1314,Highland/Westforest,0,1
1315,Holiday Inn Dr./Jacob Hespeler Secondary School,0,1
1316,200 Holiday Inn Dr.,0,1
1317,Holiday Inn Dr./Heritage College,0,1
1318,Conestoga/Lena,0,2
1319,Conestoga/Conestoga Transit Garage,0,2
1320,Bishop/Collier Macmillan,0,1
1321,Bishop/Hespeler Rd.,0,1
1325,Pinebush Station (West Side),0,1
1326,Pinebush/Conestoga,0,1
1327,Pinebush/High Ridge,0,1
1328,Bishop/Cowansview,0,2
1329,Pinebush/Balmoral,0,2
1330,355 Pinebush Rd.,0,2
1331,Pinebush/Fleming,0,1
1332,Fleming/Thompson,0,2
1333,Fleming/Sheldon,0,2
1334,Oldfield/Ottawa,0,1
1335,Sheldon/Balmoral,0,1
1336,Sheldon/Franklin,0,1
1337,Sheldon/Wolseley,0,1
1338,Sheldon/Corydon,0,1
1339,Conestoga/Sheldon,0,2
1340,500 Conestoga Blvd.,0,2
1342,Conestoga College Doon Campus - Door 6,0,1
1343,Can-Amera/Franklin,0,2
1345,Saginaw/Cowan,0,2
1346,Saginaw/Stonecairn,0,2
1347,Saginaw/Chamberlin,0,2
1348,Saginaw/Burnett,0,2
1349,Saginaw/Light,0,1
1350,Saginaw/Granite Hill,0,1
1351,Bishop/Franklin,0,1
1353,Bishop/Cowansview,0,1
1354,Green Vista/Whittaker,0,1
1355,Burnett/Benn,0,1
1356,Saginaw/St Benedict Catholic Secondary School,0,1
1357,Can-Amera/Franklin,0,1
1358,Dunbar/Conestoga,0,1
1361,Elgin/Path To Ferguson,0,2
1362,Elgin/Ferguson,0,1
1367,Cowan/Robson,0,2
1368,Cowan/Path To Bayne,0,1
1369,Burnett/Buchanan,0,2
1370,Burnett/Drumlin,0,1
1371,Saginaw/Burnett,0,1
1372,Saginaw/Fairgreen,0,2
1373,Saginaw/Stonecairn,0,1
1374,Saginaw/Cowan,0,2
1376,Queen Station (Charles/Benton),0,1
1377,Queen Station (Benton/Charles),0,1
1378,Elgin/Franklin,0,1
1379,Elgin/Bushnell,0,1
1380,Elgin/Steeles,0,2
1381,Elgin/Glenbrook,0,2
1384,Hespeler Rd./Munch,0,1
1385,Queen Station (Charles/Benton),0,1
1386,Charles/Stirling,0,1
1387,Charles/Stirling,0,1
1390,Borden Station,0,1
1391,Borden Station,0,1
1392,Dunbar/Hespeler Rd.,0,1
1394,Dunbar/Daleview,0,2
1396,Dunbar/Eastdowns,0,2
1398,Dunbar/St George,0,2
1399,Dunbar/Grand Valley,0,2
1400,Concession/Grand Valley,0,2
1401,Bishop/Duke,0,1
1402,Bishop/Hamilton,0,1
1403,Hamilton/Montrose,0,2
1404,Hamilton/Union,0,2
1405,Beck/Homuth,0,2
1406,Highland/Eastforest,0,1
1407,Homuth/Frederick,0,1
1408,Rose/Lowther,0,2
1409,605 Hespeler Rd.,0,1
1410,Rose/Preston High School,0,1
1411,Argyle/Vine,0,2
1412,Argyle/Hamilton,0,2
1413,Hamilton/Westminster,0,2
1414,Westminster/King,0,1
1415,Westminster/Duke,0,1
1416,Westminster/Lawrence,0,2
1417,Eagle/Concession,0,1
1418,Concession/Garden,0,2
1419,Concession/Dolph,0,1
1420,Langs/Concession,0,1
1421,Langs/Walter,0,1
1422,Langs/Valentine,0,1
1423,Langs/Langs Circle,0,1
1424,Langs/Industrial,0,1
1425,Langs/Hespeler Rd.,0,1
1426,Hespeler Rd./Langs,0,1
1427,480 Hespeler Rd.,0,1
1428,Westmount/Ottawa (North Side),0,1
1429,Langs/Industrial,0,1
1430,Langs/Trico,0,1
1431,Langs/Walter,0,1
1432,515 Langs Dr.,0,1
1433,Concession/Langs,0,1
1434,Mill Station,0,1
1435,336 Eagle St. N.,0,1
1436,Eagle/William,0,1
1440,Mill Station,0,1
1443,King/Montrose,0,2
1444,Bishop/Duke,0,1
1445,Bishop/Pineview,0,1
1446,Fairview/Bishop,0,2
1447,Fairview/Grand Valley,0,2
1448,Dunbar/Grand Valley,0,1
1449,Dunbar/St George,0,2
1451,Dunbar/Eastdowns,0,2
1454,Dunbar/Hespeler Rd.,0,1
1455,King/Westminster,0,1
1456,Smartcentres Cambridge - North,0,1
1457,Smartcentres Cambridge - South,0,1
1458,Block Line Station,0,1
1459,588 Hespeler Rd.,0,1
1460,160 Hespeler Rd.,0,1
1461,Hespeler Rd./Wilmot,0,1
1462,Hespeler Rd./Jaffray,0,1
1463,Block Line Station,0,1
1464,Water/Galt Collegiate Institute,0,1
1465,Ainslie/Simcoe,0,1
1466,Ainslie/Park Hill,0,1
1467,Ainslie/Dickson,0,1
1468,Ainslie/Dickson,0,1
1469,Ainslie/Colborne,0,2
1470,Ainslie/Park Hill,0,1
1471,Ainslie/Simcoe,0,1
1472,Water/Galt Collegiate Institute,0,1
1473,Water/Dayton,0,1
1474,Central Station,0,1
1475,Hespeler Rd./Avenue,0,1
1476,167 Hespeler Rd.,0,1
1477,Hespeler Rd./Bishop,0,1
1478,499 Hespeler Rd.,0,1
1479,Hespeler Rd./Sheldon,0,1
1480,561 Hespeler Rd.,0,1
1481,Ottawa/Courtland,0,1
1482,Smartcentres Cambridge - South,0,1
1483,Smartcentres Cambridge - North,0,1
1484,Franklin/Holiday Inn Dr.,0,1
1485,Franklin/Pinebush,0,1
1486,580 Hespeler Rd.,0,1
1487,Franklin/Sheldon,0,1
1488,Franklin/Turnbull,0,1
1490,Franklin/Bishop,0,1
1491,Franklin/Elgin,0,1
1492,Franklin/Glamis,0,1
1493,Franklin/Path To The Greenway,0,1
1494,Franklin/Avenue,0,1
1495,Franklin/Athlone,0,1
1496,Clyde/Franklin,0,1
1497,Clyde/Bluerock,0,1
1498,Clyde/Grand River Conservation Authority,0,1
1499,Dobbie/Clyde,0,1
1500,Dobbie/Orion,0,1
1501,Dobbie/Savage,0,1
1502,100 Savage Dr.,0,2
1503,Franklin/Hilltop,0,1
1504,Franklin/Mclaren,0,1
1505,Main/South Cambridge Centre,0,1
1506,Main/Dundas,0,1
1507,Main/Elgin,0,2
1509,Concession/Peck,0,1
1510,Concession/Cameron,0,1
1511,Ainslie Terminal,0,1
1512,Ainslie Terminal,0,1
1516,Ainslie Terminal,0,1
1517,Ainslie Terminal,0,1
1518,Ainslie Terminal,0,1
1519,Ainslie Terminal,0,1
1520,Ainslie Terminal,0,1
1521,Ainslie Terminal,0,1
1522,Ainslie Terminal,0,1
1523,Ainslie/Walnut,0,1
1524,Concession/Cameron,0,1
1525,Concession/Peck,0,1
1529,Franklin/Mclaren,0,1
1530,Franklin/Savage,0,1
1531,55 Savage Dr.,0,1
1532,111 Savage Dr.,0,2
1533,Dobbie/Savage,0,2
1534,Dobbie/Orion,0,2
1535,Dobbie/Clyde,0,2
1536,Clyde/Grand River Conservation Authority,0,2
1537,Clyde/Bluerock,0,2
1538,Franklin/Clyde,0,2
1539,Franklin/Hilborn,0,2
1540,Franklin/Avenue,0,1
1541,Franklin/Robson,0,2
1543,Franklin/Lindsay,0,1
1544,Franklin/Bishop,0,1
1545,Ottawa/Williamsburg,0,2
1546,Franklin/Turnbull,0,1
1547,Franklin/Sheldon,0,1
1548,Strasburg/Forest Glen Plaza,0,1
1549,Franklin/Pinebush,0,1
1550,Franklin/Jamieson,0,1
1563,3227 King St. E.,0,1
1565,King/River,0,1
1567,King/Deer Ridge,0,1
1569,Sportsworld Station,0,1
1572,Sportsworld Station,0,1
1573,Gateway Park/Sportsworld,0,1
1574,Tu Lane/Gateway Park,0,1
1576,Preston Pkwy./Shantz Hill,0,1
1577,Preston Pkwy./Linden,0,1
1578,Preston Pkwy./Parkview,0,1
1579,Preston Pkwy./Hillview,0,1
1580,Preston Pkwy./Woods,0,1
1584,King/Fountain,0,1
1585,King/Eagle,0,1
1586,King/Waterloo,0,1
1587,King/Westminster,0,1
1588,King/Lowther,0,1
1589,King/Dolph,0,1
1590,Sportsworld Station,0,1
1591,King/Bishop,0,1
1592,King/Brower,0,2
1593,King/Blue Heron,0,2
1594,Coronation/Oriole,0,1
1595,Coronation/Blue Heron,0,1
1596,720 Coronation Blvd.,0,2
1597,Coronation/Cambridge Memorial Hospital,0,1
1600,Delta Station,0,1
1601,Dundas/Hopeton,0,1
1602,Dundas/Cambridge St.,0,1
1603,Beverly/Dundas,0,1
1605,Wellington/Main,0,1
1606,Beverly/Kerr,0,2
1608,Beverly/Dundas,0,1
1609,Dundas/Cambridge St.,0,1
1610,Dundas/Roxboro,0,1
1611,Dundas/Jarvis,0,1
1612,Delta Station,0,1
1613,Coronation/Goldie,0,2
1614,Coronation/Oliver,0,1
1615,Coronation/Cambridge Memorial Hospital,0,1
1616,725 Coronation Blvd.,0,1
1617,Coronation/Highland,0,1
1618,Coronation/Blue Heron,0,1
1619,Coronation/Oriole,0,1
1620,King/Concession,0,1
1621,King/Brower,0,2
1622,King/Bishop,0,1
1623,King/Montrose,0,2
1624,King/Dolph,0,1
1625,King/Lowther,0,1
1626,King/Waterloo,0,1
1627,King/Eagle,0,1
1628,King/Fountain,0,1
1630,Preston Pkwy./Fountain,0,1
1631,Preston Pkwy./Woods,0,1
1632,Preston Pkwy./Hillview,0,2
1633,Preston Pkwy./Parkview,0,1
1635,Shantz Hill/Preston Pkwy.,0,1
1636,Gateway Park/King,0,1
1638,Gateway Park/Sportsworld,0,1
1640,King/Deer Ridge,0,1
1642,King/Grand River Hospital - Freeport Campus,0,2
1647,Morrison/Grand River Hospital - Freeport Campus,0,1
1648,Morrison/Grand River Blvd.,0,2
1649,Morrison/Path To Morrison Park,0,1
1650,Morrison/Grand River Blvd.,0,1
1651,Quinte/Morrison,0,2
1652,Morrison/Quinte,0,1
1653,Morrison/Path To Morrison Park,0,1
1654,Highland/Eastforest,0,1
1655,Grand River Hospital - Freeport Campus,0,1
1656,Grand River Blvd./River,0,1
1657,Morgan/River,0,1
1658,Morgan/Greendale,0,2
1659,Morgan/Southill,0,1
1660,Morgan/Fairway,0,2
1662,Old Country/Country Hill,0,1
1663,Old Country/Country Hill,0,1
1664,River/Old Chicopee,0,1
1665,River/Rennie,0,2
1666,Strasburg/Forest Glen Plaza,0,1
1669,Lennox Lewis/Activa Sportsplex,0,2
1670,Lennox Lewis/The Family Centre,0,2
1671,Ottawa/Mcgee,0,1
1672,Sunrise Centre Station,0,1
1675,Sunrise Centre Station,0,1
1676,International/Wake Robin,0,1
1677,Lackner/Lorraine,0,1
1678,Victoria/Bingemans Centre Dr.,0,1
1679,Lackner/Lorraine,0,1
1680,Natchez/Rothsay,0,2
1681,Natchez/Matthew,0,2
1682,Halifax/Natchez,0,1
1683,Halifax/Confederation,0,1
1684,Confederation/Lorraine,0,1
1685,Blair/Old Mill,0,2
1686,Blair/Old Mill,0,2
1687,Blair/Langdon,0,2
1688,Blair/Langdon,0,2
1689,Ottawa/Heritage,0,2
1690,Ottawa/Mcgee,0,1
1691,Trillium/Strasburg,0,2
1692,Victoria/Natchez,0,1
1693,River/Rennie,0,2
1694,River/Old Chicopee,0,1
1695,Westmount/Path To Williamsburg,0,2
1696,Westmount/Path To Williamsburg,0,2
1697,Wilson/Fairway,0,1
1698,Wilson/Webster,0,1
1699,805 Wilson Ave.,0,1
1700,915 Wilson Ave.,0,1
1701,Wabanaki/Kevco,0,2
1703,Manitou/Wabanaki,0,1
1704,421 Manitou Dr.,0,1
1705,Manitou/Cayuga,0,1
